,Profession,Female BiasedDB,Male BiasedDB,Prediction BiasedDB,Female DebiasedDB,Male DebiasedDB,Prediction DebiasedDB
0,grandmother,0.6677208470413387,0.33227915295866123,female,0.5496814482074626,0.4503185517925374,female
1,gods,0.15339007962904572,0.8466099203709543,male,0.2922829783738097,0.7077170216261903,male
2,busboy,0.229303880602988,0.770696119397012,male,0.4616384579112125,0.5383615420887875,male
3,fiancees,0.4631607126500532,0.5368392873499468,male,0.4099817725964582,0.5900182274035418,male
4,motherhood,0.8066182704213486,0.19338172957865143,female,0.678516611819785,0.3214833881802151,female
5,male_host,0.5287764911026509,0.47122350889734915,female,0.5588094814567253,0.4411905185432747,female
6,stepsons,0.42100129010433285,0.5789987098956672,male,0.5177542806048208,0.4822457193951792,female
7,abbesses,0.7252694188950823,0.2747305811049177,female,0.5089852021429306,0.49101479785706936,female
8,lesbians,0.7321483725896157,0.26785162741038426,female,0.5562314994238213,0.4437685005761786,female
9,salesman,0.29637218038804747,0.7036278196119525,male,0.4743145501772166,0.5256854498227834,male
10,househusbands,0.6061136797161794,0.39388632028382065,female,0.5956643543616605,0.40433564563833946,female
11,masseuse,0.5320979733451832,0.4679020266548168,female,0.4723600980306112,0.5276399019693888,male
12,grandmothers,0.6660229145507637,0.3339770854492364,female,0.5186783141613972,0.4813216858386028,female
13,businessmen,0.33393137044524634,0.6660686295547537,male,0.4623847141960248,0.5376152858039752,male
14,dudes,0.197172651898047,0.802827348101953,male,0.3251566853117812,0.6748433146882188,male
15,grandsons,0.3715666894861306,0.6284333105138694,male,0.5233744310923922,0.4766255689076077,female
16,barmen,0.17563270678660603,0.824367293213394,male,0.2765377390499715,0.7234622609500285,male
17,husband,0.6499679511040702,0.35003204889592976,female,0.6206557850050197,0.3793442149949803,female
18,baron,0.1315584546749693,0.8684415453250307,male,0.43166753154266535,0.5683324684573346,male
19,sororal,0.6124732725363365,0.38752672746366346,female,0.40757678991103197,0.592423210088968,male
20,aunt,0.8411220852171368,0.15887791478286314,female,0.4875055277879117,0.5124944722120883,male
21,lasses,0.5984410324935782,0.40155896750642184,female,0.4863959487628572,0.5136040512371428,male
22,husbands,0.6411305837786644,0.3588694162213356,female,0.5224791283422097,0.47752087165779034,female
23,waiters,0.3454212722404174,0.6545787277595826,male,0.3432250281557072,0.6567749718442928,male
24,bellgirls,0.6980354333039455,0.30196456669605454,female,0.6050587276449648,0.3949412723550352,female
25,landlady,0.7146817932227474,0.28531820677725267,female,0.5801768679636036,0.41982313203639643,female
26,androgen,0.36643456355315074,0.6335654364468493,male,0.4337894094582535,0.5662105905417465,male
27,businesswoman,0.7510142882094089,0.24898571179059115,female,0.6050649672893791,0.39493503271062086,female
28,toque,0.4198830480947777,0.5801169519052223,male,0.5504117220876659,0.44958827791233413,female
29,councilwoman,0.7358849118170752,0.2641150881829248,female,0.5988908254672307,0.40110917453276934,female
30,airmen,0.39359855280112077,0.6064014471988792,male,0.3733115840821615,0.6266884159178385,male
31,mare,0.842007933641499,0.1579920663585011,female,0.6646961526146888,0.3353038473853112,female
32,spokeswomen,0.8055210481010286,0.1944789518989714,female,0.6494088635875859,0.35059113641241413,female
33,masseurs,0.2969912886332081,0.7030087113667919,male,0.31468211400907586,0.6853178859909241,male
34,him,0.039258285638373636,0.9607417143616264,male,0.7610696947393157,0.2389303052606843,female
35,diva,0.9602897885214077,0.03971021147859228,female,0.8292333138098588,0.17076668619014124,female
36,stewardesses,0.6541180867688268,0.34588191323117323,female,0.5813546530733842,0.41864534692661587,female
37,boyfriend,0.5673363399828446,0.4326636600171554,female,0.550208948277429,0.44979105172257094,female
38,councilwomen,0.6376335186271689,0.3623664813728312,female,0.5672788123992889,0.43272118760071104,female
39,abbots,0.12825018240158037,0.8717498175984196,male,0.2172620506536319,0.7827379493463681,male
40,mother,0.7581098011481909,0.24189019885180907,female,0.6065022884453688,0.3934977115546312,female
41,bull,0.2327730861262115,0.7672269138737885,male,0.5109611116302213,0.4890388883697787,female
42,salesmen,0.30191427182183395,0.698085728178166,male,0.37972166957045295,0.620278330429547,male
43,sorority,0.8284840095974652,0.17151599040253485,female,0.5834423028301086,0.4165576971698914,female
44,monastery,0.4188932944712662,0.5811067055287338,male,0.45491962962148247,0.5450803703785175,male
45,female_ejaculation,0.5071224559190901,0.49287754408090995,female,0.5681829990575689,0.4318170009424311,female
46,lad,0.018225034394962925,0.9817749656050371,male,0.4062450431776068,0.5937549568223932,male
47,baritone,0.3245563663941028,0.6754436336058972,male,0.5266839211700929,0.47331607882990717,female
48,groom,0.21756154668899874,0.7824384533110013,male,0.32069165990202486,0.6793083400979751,male
49,prostate,0.29323830511871374,0.7067616948812863,male,0.4713530519501814,0.5286469480498186,male
50,gelding,0.2872747970576687,0.7127252029423313,male,0.5189885107652736,0.4810114892347264,female
51,duchesses,0.6997190010668997,0.3002809989331004,female,0.5564841815711645,0.4435158184288355,female
