,Profession,Female BiasedDB,Male BiasedDB,Prediction BiasedDB,Female DebiasedDB,Male DebiasedDB,Prediction DebiasedDB
0,sorceresses,0.8705962912521015,0.12940370874789853,female,0.8672142567270047,0.1327857432729953,female
1,czarina,0.5941081798761867,0.40589182012381336,female,0.5176346194441986,0.48236538055580136,female
2,paternal,0.9501994827741032,0.049800517225896804,female,0.9251476526225099,0.07485234737749016,female
3,housewives,0.7191617565450601,0.28083824345493985,female,0.7499371850921215,0.25006281490787846,female
4,chairmen,0.8159026418357838,0.1840973581642162,female,0.78645009779252,0.21354990220748005,female
5,uncle,0.34501382559261096,0.654986174407389,male,0.6178074879133322,0.38219251208666777,female
6,cowgirls,0.9022468302873587,0.09775316971264122,female,0.8521619184459976,0.14783808155400235,female
7,male,0.7804270411354794,0.21957295886452052,female,0.7437373017087479,0.25626269829125214,female
8,princess,0.7559211485660162,0.2440788514339838,female,0.8051793028293568,0.19482069717064318,female
9,housewife,0.8663715153114622,0.1336284846885378,female,0.870344990554016,0.129655009445984,female
10,miss,0.98712248138497,0.012877518615029991,female,0.9629006523036113,0.037099347696388625,female
11,daughters,0.4766733678076064,0.5233266321923936,male,0.48348059625379025,0.5165194037462097,male
12,she,0.6431185260952238,0.3568814739047762,female,0.658709787201907,0.3412902127980931,female
13,female_ejaculation,0.9329050038744202,0.06709499612557979,female,0.958057191641511,0.041942808358488994,female
14,fiancees,0.7529129949878209,0.24708700501217903,female,0.7843563022167583,0.2156436977832416,female
15,mistress,0.7252641764808028,0.2747358235191973,female,0.721314552132474,0.2786854478675261,female
16,gals,0.3255418963226011,0.6744581036773989,male,0.3571386456987238,0.6428613543012762,male
17,diva,0.522843786451276,0.477156213548724,female,0.4815918690540747,0.5184081309459253,male
18,himself,0.4586485573416018,0.5413514426583982,male,0.4581122260142061,0.5418877739857939,male
19,patriarch,0.5585666885012679,0.44143331149873205,female,0.616385916388775,0.3836140836112249,female
20,duchess,0.6166919516828224,0.3833080483171775,female,0.6421581058491792,0.35784189415082074,female
21,wives,0.2788283807782598,0.7211716192217402,male,0.16148761859422522,0.8385123814057748,male
22,tailor,0.1080426140456523,0.8919573859543477,male,0.14202929764912753,0.8579707023508725,male
23,hens,0.7446038468124181,0.25539615318758196,female,0.8116824428553908,0.1883175571446092,female
24,maid,0.8334700740292184,0.16652992597078167,female,0.8239589003457267,0.17604109965427325,female
25,ma'am,0.994998222381616,0.005001777618384021,female,0.9860843044179212,0.013915695582078782,female
26,fraternities,0.30891006502267515,0.6910899349773248,male,0.42290190655617776,0.5770980934438222,male
27,beards,0.1992928108120411,0.8007071891879589,male,0.2737494471591796,0.7262505528408204,male
28,grandfathers,0.2845464290747892,0.7154535709252108,male,0.2983195887284992,0.7016804112715008,male
29,minxes,0.9335840182684805,0.06641598173151947,female,0.9137501890495348,0.08624981095046523,female
30,headmistress,0.9234424266926167,0.07655757330738337,female,0.8503884279434608,0.14961157205653924,female
31,lesbian,0.951859869327804,0.04814013067219604,female,0.8803247902568601,0.11967520974313994,female
32,godfather,0.46206810413439214,0.5379318958656079,male,0.39922590946114833,0.6007740905388517,male
33,priestess,0.9782433863944097,0.021756613605590305,female,0.9750016512665683,0.024998348733431684,female
34,maternal,0.8811366986729267,0.11886330132707336,female,0.8099750742253636,0.1900249257746364,female
35,landlords,0.4337543500182529,0.5662456499817471,male,0.34178370171732775,0.6582162982826723,male
36,councilwomen,0.7186644422662256,0.2813355577337744,female,0.6636512473540055,0.33634875264599445,female
37,masseuses,0.8638991727459537,0.13610082725404632,female,0.832466716388176,0.16753328361182396,female
38,king,0.0627968457621112,0.9372031542378888,male,0.25318948983572576,0.7468105101642742,male
39,stallion,0.5621390476694024,0.4378609523305977,female,0.5815081037557777,0.4184918962442223,female
40,abbots,0.19881654705374008,0.8011834529462599,male,0.14031381828157163,0.8596861817184284,male
41,stewards,0.4895267937743806,0.5104732062256194,male,0.5777717581923043,0.42222824180769575,female
42,maiden,0.729177937677494,0.27082206232250605,female,0.8152749733278083,0.1847250266721917,female
43,dads,0.06637799146965062,0.9336220085303494,male,0.07261430281374537,0.9273856971862546,male
44,sons,0.12918958417341875,0.8708104158265813,male,0.11541704499949612,0.8845829550005039,male
45,father,0.5045545621490594,0.49544543785094064,female,0.7291918045685948,0.2708081954314053,female
46,roosters,0.6858734454220381,0.31412655457796185,female,0.7814709136699898,0.21852908633001022,female
47,priests,0.10902467918673853,0.8909753208132615,male,0.11479393586977404,0.885206064130226,male
