,Profession,Female BiasedDB,Male BiasedDB,Prediction BiasedDB,Female DebiasedDB,Male DebiasedDB,Prediction DebiasedDB
0,busboy,0.2869943485196721,0.7130056514803279,male,0.439587342812333,0.560412657187667,male
1,godmother,0.7646577471346713,0.2353422528653287,female,0.7176428459970363,0.28235715400296363,female
2,handywoman,0.7214527283683579,0.27854727163164206,female,0.682798009347942,0.31720199065205795,female
3,duchess,0.8023093594677341,0.1976906405322659,female,0.7415415123016741,0.2584584876983259,female
4,actresses,0.7416489266493846,0.2583510733506154,female,0.6344837159636018,0.36551628403639824,female
5,ma'am,0.5550548419273736,0.44494515807262636,female,0.5281417837332184,0.4718582162667816,female
6,gays,0.26656375226416473,0.7334362477358353,male,0.4662376088814094,0.5337623911185906,male
7,andropause,0.468284062785284,0.531715937214716,male,0.5234686699619068,0.4765313300380932,female
8,ovum,0.8293908612397144,0.17060913876028558,female,0.8290429763985805,0.1709570236014195,female
9,bellgirls,0.6918357575758463,0.3081642424241537,female,0.6143696491786352,0.38563035082136476,female
10,toques,0.6482324734487139,0.351767526551286,female,0.6529263452681593,0.3470736547318407,female
11,housewives,0.6823174993058431,0.31768250069415693,female,0.5946051104507604,0.4053948895492396,female
12,woman,0.8064463210008863,0.19355367899911366,female,0.7509376185028024,0.2490623814971976,female
13,guy,0.02598867640730207,0.9740113235926979,male,0.16785923934515945,0.8321407606548406,male
14,househusbands,0.587467200245109,0.412532799754891,female,0.5632409961430814,0.43675900385691857,female
15,seamstress,0.7825969083888463,0.21740309161115365,female,0.7384730915330688,0.2615269084669312,female
16,guys,0.13187678587362683,0.8681232141263732,male,0.22509824820833513,0.7749017517916649,male
17,daughter,0.6896334629335121,0.3103665370664878,female,0.6256165431464051,0.3743834568535949,female
18,marquis,0.39027124804330304,0.609728751956697,male,0.44437613746592086,0.5556238625340791,male
19,monk,0.11218497469644806,0.8878150253035519,male,0.2613826628577234,0.7386173371422766,male
20,businessmen,0.32681358640435565,0.6731864135956444,male,0.36136250780273105,0.638637492197269,male
21,governors,0.3079643128592685,0.6920356871407315,male,0.3483892335696269,0.6516107664303731,male
22,penis,0.23903425819209945,0.7609657418079006,male,0.31962553062307775,0.6803744693769223,male
23,horsewomen,0.6344264297798992,0.3655735702201009,female,0.5169402152070606,0.48305978479293943,female
24,testosterone,0.43026714401855426,0.5697328559814457,male,0.47371682502094103,0.526283174979059,male
25,hostess,0.8674644576601396,0.13253554233986037,female,0.8243089523282953,0.17569104767170474,female
26,grooms,0.28992353107268765,0.7100764689273124,male,0.29856215836740707,0.7014378416325929,male
27,sorceresses,0.6478942723138101,0.3521057276861898,female,0.5679758022983943,0.4320241977016057,female
28,bridegrooms,0.46008648749438885,0.5399135125056111,male,0.4455694080812125,0.5544305919187875,male
29,gentleman,0.34214074671829076,0.6578592532817092,male,0.40714182377585206,0.5928581762241479,male
30,spinster,0.8313723290920224,0.16862767090797762,female,0.8234448103416232,0.17655518965837674,female
31,gods,0.24488785832946214,0.7551121416705379,male,0.4092535843009457,0.5907464156990543,male
32,godfather,0.38945282194982156,0.6105471780501784,male,0.4485261359667859,0.5514738640332141,male
33,tailor,0.3724587153163871,0.6275412846836129,male,0.4337610907828092,0.5662389092171908,male
34,cameramen,0.3391157216715107,0.6608842783284893,male,0.3488064146173441,0.6511935853826559,male
35,beards,0.17296657691569206,0.8270334230843079,male,0.2132526047206592,0.7867473952793408,male
