,Profession,Female BiasedDB,Male BiasedDB,Prediction BiasedDB,Female DebiasedDB,Male DebiasedDB,Prediction DebiasedDB
0,wives,0.719809934948537,0.280190065051463,female,0.6887018636185314,0.3112981363814686,female
1,colt,0.550413460758916,0.4495865392410841,female,0.5602013232071301,0.4397986767928698,female
2,abbot,0.39074392818971926,0.6092560718102807,male,0.36847093776617734,0.6315290622338227,male
3,lasses,0.8417001511848075,0.1582998488151926,female,0.830531649089368,0.16946835091063198,female
4,godesses,0.3163018886221133,0.6836981113778867,male,0.29933978267499883,0.7006602173250012,male
5,duchess,0.44177202740493315,0.5582279725950668,male,0.4601502372673206,0.5398497627326794,male
6,paternal,0.8760791333541914,0.12392086664580862,female,0.8747739207906503,0.12522607920934967,female
7,hosts,0.3632045276596767,0.6367954723403233,male,0.3473504820672262,0.6526495179327738,male
8,spokesman,0.14619598478223483,0.8538040152177652,male,0.17009169089642107,0.8299083091035789,male
9,princesses,0.5587154420023484,0.4412845579976517,female,0.5775595956393713,0.42244040436062863,female
10,miss,0.9966771163289166,0.003322883671083327,female,0.9957916922500324,0.004208307749967647,female
11,salesmen,0.242249931683723,0.757750068316277,male,0.2608963779151442,0.7391036220848558,male
12,baroness,0.7533614260851447,0.2466385739148553,female,0.7387225563192267,0.2612774436807733,female
13,governess,0.8401073349896759,0.15989266501032404,female,0.8779765512262567,0.1220234487737433,female
14,husband,0.069929547239313,0.930070452760687,male,0.06826144089390473,0.9317385591060953,male
15,landladies,0.4270908648160835,0.5729091351839165,male,0.3804703032380683,0.6195296967619317,male
16,chairwomen,0.03803039444443557,0.9619696055555644,male,0.04250003663766955,0.9574999633623305,male
17,fillies,0.35419707310229664,0.6458029268977034,male,0.3800679303537141,0.6199320696462859,male
18,womb,0.6006245085741037,0.39937549142589635,female,0.5962186771973099,0.4037813228026901,female
19,bridegrooms,0.2680701353991589,0.7319298646008411,male,0.19569789299267304,0.804302107007327,male
20,suitor,0.4445801514666282,0.5554198485333718,male,0.4476833682496817,0.5523166317503183,male
21,bride,0.44797967496776003,0.55202032503224,male,0.4400988037326241,0.5599011962673759,male
22,duke,0.4247166851070282,0.5752833148929718,male,0.4439666467544824,0.5560333532455176,male
23,countrywoman,0.34217820921367514,0.6578217907863249,male,0.38442778449325843,0.6155722155067416,male
24,empresses,0.8605876286798642,0.13941237132013581,female,0.8477304792914298,0.15226952070857028,female
25,mezzo,0.7004734480367953,0.29952655196320466,female,0.6802365465425448,0.31976345345745516,female
26,godmother,0.726344088560743,0.27365591143925705,female,0.6924439191039742,0.3075560808960258,female
27,mare,0.84277312074632,0.15722687925367992,female,0.8041172497492637,0.19588275025073626,female
28,blokes,0.2990568715120404,0.7009431284879596,male,0.332358732758984,0.667641267241016,male
29,mentleman,0.4643044485347758,0.5356955514652242,male,0.47400767153873613,0.5259923284612639,male
30,princes,0.5921771189757523,0.40782288102424763,female,0.6178933099441983,0.38210669005580167,female
31,groom,0.4423978612827013,0.5576021387172987,male,0.4587868926117402,0.5412131073882598,male
32,cows,0.8004207865755233,0.19957921342447665,female,0.7980077421001408,0.20199225789985917,female
33,policeman,0.4574423228297183,0.5425576771702817,male,0.4638801559017369,0.5361198440982631,male
34,heroine,0.8189244272940158,0.1810755727059842,female,0.7929070928656515,0.2070929071343485,female
35,bachelor,0.558901344927737,0.441098655072263,female,0.5232241369059429,0.476775863094057,female
36,female,0.8943741037994201,0.10562589620057991,female,0.8976073276984722,0.10239267230152788,female
37,widows,0.6605969200025086,0.3394030799974915,female,0.6181083714808394,0.3818916285191606,female
38,councilwomen,0.1102796004878499,0.8897203995121501,male,0.11369682674289672,0.8863031732571033,male
39,aunt,0.8446266118675627,0.15537338813243734,female,0.8232772230556593,0.17672277694434071,female
40,maiden,0.9395155594003157,0.060484440599684254,female,0.9423442644870125,0.057655735512987576,female
41,sisters,0.27181013985289104,0.728189860147109,male,0.27718470859410227,0.7228152914058977,male
42,stud,0.8502713567012181,0.14972864329878185,female,0.828075261193572,0.17192473880642795,female
43,beards,0.3576794200199539,0.6423205799800461,male,0.2802059872896051,0.7197940127103949,male
44,maids,0.8995670498264571,0.10043295017354296,female,0.8912491409132386,0.10875085908676142,female
45,fraternal,0.549589936887815,0.450410063112185,female,0.5573313212323772,0.4426686787676228,female
46,gal,0.7237690846206174,0.2762309153793826,female,0.7403218146593019,0.2596781853406981,female
47,monks,0.6337488394710344,0.3662511605289655,female,0.5640876541423842,0.43591234585761585,female
48,males,0.8824739244535382,0.11752607554646179,female,0.8564857050852487,0.14351429491475134,female
49,stewardesses,0.6912968132701403,0.3087031867298597,female,0.6645469248885785,0.33545307511142153,female
50,grandfather,0.07895784118095173,0.9210421588190483,male,0.09362850702686154,0.9063714929731385,male
51,sororities,0.28678366255634813,0.7132163374436519,male,0.3207069521507704,0.6792930478492296,male
52,manservant,0.3110119348612447,0.6889880651387553,male,0.2855343262818879,0.7144656737181121,male
53,masters,0.5491864191976034,0.45081358080239664,female,0.5895628903086378,0.4104371096913622,female
54,vagina,0.6929237082289541,0.30707629177104584,female,0.715930402886999,0.2840695971130009,female
55,heros,0.2540707587690977,0.7459292412309023,male,0.22568490168098154,0.7743150983190185,male
56,bulls,0.8799330574028001,0.12006694259719984,female,0.873231585891412,0.12676841410858794,female
57,fatherhood,0.637607123236824,0.362392876763176,female,0.6844097760837904,0.3155902239162096,female
58,boyfriend,0.47916005519370486,0.5208399448062951,male,0.4724808457459181,0.5275191542540819,male
59,toque,0.8854725721157479,0.11452742788425212,female,0.8807685413651731,0.11923145863482686,female
60,countrywomen,0.342710200329714,0.657289799670286,male,0.3419324721296132,0.6580675278703868,male
61,grandson,0.9483669715661476,0.05163302843385245,female,0.9312172685749304,0.06878273142506962,female
62,nuns,0.1391472930834844,0.8608527069165156,male,0.16875908885515645,0.8312409111448436,male
63,widow,0.16199728999209773,0.8380027100079023,male,0.13349011095884133,0.8665098890411587,male
64,cowboys,0.5565618493631126,0.44343815063688746,female,0.4977266739649734,0.5022733260350266,male
65,belles,0.26618897770334726,0.7338110222966527,male,0.30059355085603046,0.6994064491439695,male
66,policewoman,0.553321558618855,0.446678441381145,female,0.5286270101222201,0.4713729898777798,female
67,seamstress',0.049669761135680335,0.9503302388643197,male,0.05545129691084316,0.9445487030891568,male
68,lions,0.04994784182711365,0.9500521581728864,male,0.05065784787460026,0.9493421521253997,male
69,sorority,0.4380829197170676,0.5619170802829324,male,0.4246429182817276,0.5753570817182724,male
70,father,0.7194776588176846,0.2805223411823154,female,0.7092862274248312,0.29071377257516884,female
71,queens,0.9233762498425074,0.07662375015749258,female,0.8803234655745924,0.11967653442540754,female
72,diva,0.7700074670434651,0.22999253295653493,female,0.7763530152859226,0.22364698471407737,female
73,bellgirl,0.5621638869499874,0.4378361130500126,female,0.5801882527512098,0.4198117472487902,female
74,bachelorette,0.5953830969299146,0.40461690307008535,female,0.5741908969069572,0.42580910309304276,female
75,niece,0.5326403089567927,0.4673596910432073,female,0.5198221759716943,0.4801778240283056,female
76,mommy,0.8805446206753507,0.11945537932464932,female,0.8489323152926288,0.1510676847073712,female
77,paternity,0.20286285061683373,0.7971371493831663,male,0.22462760618616073,0.7753723938138393,male
78,grandsons,0.10091275789479115,0.8990872421052089,male,0.09787834882872581,0.9021216511712742,male
