,Profession,Female BiasedDB,Male BiasedDB,Prediction BiasedDB,Female DebiasedDB,Male DebiasedDB,Prediction DebiasedDB
0,sorority,0.9894520377355409,0.010547962264459034,female,0.7183273066607383,0.2816726933392617,female
1,brothers,0.014900125657719334,0.9850998743422805,male,0.5369618202895843,0.46303817971041583,female
2,strongman,0.01900185446789523,0.9809981455321046,male,0.5406509864375603,0.45934901356243973,female
3,priestesses,0.9791357975781582,0.0208642024218419,female,0.7014018786754043,0.29859812132459584,female
4,lionesses,0.9558285372431349,0.0441714627568652,female,0.727256495433614,0.272743504566386,female
5,spokeswoman,0.9771727480330278,0.0228272519669722,female,0.739601912574311,0.2603980874256893,female
6,mistress,0.9777417981994653,0.022258201800534786,female,0.7816149772833015,0.2183850227166987,female
7,priestess,0.9823502212632494,0.017649778736750422,female,0.6840976368952029,0.31590236310479725,female
8,mistresses,0.8078210580224146,0.19217894197758525,female,0.7249693028960952,0.27503069710390476,female
9,fiancees,0.5318301662177226,0.4681698337822773,female,0.5558203627035495,0.44417963729645055,female
10,monastery,0.35924778519745276,0.6407522148025473,male,0.639355918004911,0.360644081995089,female
11,minx,0.8996724437504825,0.10032755624951734,female,0.449692673652309,0.550307326347691,female
12,heros,0.016445310503399767,0.9835546894966005,male,0.18950381108427627,0.8104961889157236,male
13,mommy,0.9771411308032056,0.02285886919679428,female,0.7395941293271214,0.2604058706728783,female
14,girls,0.9843244522090925,0.015675547790907567,female,0.7395205873292141,0.26047941267078595,female
15,stepsons,0.04654396205825432,0.9534560379417457,male,0.4442214403732243,0.5557785596267756,male
16,estradiol,0.8940411641615554,0.10595883583844462,female,0.6683327095714788,0.33166729042852117,female
17,sisterhood,0.9950403741505991,0.004959625849401007,female,0.70979088459314,0.29020911540686023,female
18,governor,0.023524271126325415,0.9764757288736745,male,0.5594857379321362,0.4405142620678637,female
19,governors,0.016446586801493007,0.983553413198507,male,0.48997961451848243,0.5100203854815175,female
20,princesses,0.980513583483607,0.01948641651639298,female,0.7814399205045963,0.21856007949540365,female
21,grandmothers,0.9758700083326644,0.02412999166733568,female,0.6885395960695685,0.3114604039304318,female
22,policeman,0.03537066296781325,0.9646293370321868,male,0.5232397304190951,0.47676026958090506,female
23,andrology,0.06752771188054536,0.9324722881194547,male,0.3836416452837196,0.6163583547162802,male
24,stewardess,0.976966320899415,0.0230336791005851,female,0.7040061868806383,0.29599381311936185,female
25,kings,0.014924752680655658,0.9850752473193444,male,0.4945714413906164,0.5054285586093837,female
26,guys,0.0060375385265985845,0.9939624614734014,male,0.18956934046136475,0.8104306595386354,male
27,bull,0.016457262536428742,0.9835427374635712,male,0.18951052797334728,0.8104894720266527,male
28,hosts,0.05699706365453602,0.9430029363454641,male,0.22888849637669662,0.7711115036233033,male
29,stepmother,0.9771682351550723,0.02283176484492768,female,0.7561935415993024,0.24380645840069745,female
30,spokesman,0.051776015117943,0.9482239848820568,male,0.6065631531757217,0.3934368468242782,female
31,brotherhood,0.023006609348051703,0.9769933906519485,male,0.5227137607083884,0.4772862392916117,female
32,maternal,0.9162095361113963,0.0837904638886038,female,0.6008787568059032,0.39912124319409664,female
33,she,0.9215378580485373,0.07846214195146275,female,0.5527133945935234,0.4472866054064768,female
34,monk,0.016459175701316088,0.9835408242986838,male,0.1894825516677354,0.8105174483322647,male
35,brethren,0.038032840661134694,0.9619671593388652,male,0.5341777359991778,0.4658222640008223,female
36,duchess,0.9891797815863851,0.010820218413614835,female,0.7396197563135657,0.2603802436864342,female
37,headmaster,0.05608150779055476,0.9439184922094453,male,0.5997511136148387,0.4002488863851614,female
38,bachelors,0.4333253408997086,0.5666746591002914,male,0.5555143685602848,0.44448563143971503,female
39,hero,0.014615701180019763,0.9853842988199802,male,0.2905531370760486,0.7094468629239512,male
40,sorcerer,0.06671101030732318,0.933288989692677,male,0.5908649279133923,0.4091350720866077,female
41,policewoman,0.9517016235364298,0.048298376463570145,female,0.6469502955400215,0.3530497044599785,female
42,goddess,0.9969140090499348,0.0030859909500651566,female,0.7868619912960154,0.21313800870398453,female
43,nun,0.21059607530615446,0.7894039246938456,male,0.25741474765340455,0.7425852523465954,male
44,boyfriends,0.7988638421314708,0.20113615786852934,female,0.6493649877806293,0.35063501221937066,female
45,andropause,0.021875544642855488,0.9781244553571444,male,0.3616683279732611,0.6383316720267388,male
46,obstetrics,0.8409854517625481,0.15901454823745198,female,0.6557645681442487,0.3442354318557513,female
47,landladies,0.9664770923963223,0.03352290760367771,female,0.6458143529332608,0.3541856470667393,female
48,airwoman,0.9475784241500832,0.05242157584991678,female,0.6305231515419468,0.3694768484580531,female
49,schoolboy,0.039913059261909356,0.960086940738091,male,0.586328515610687,0.4136714843893129,female
50,empress,0.9937857878776503,0.006214212122349644,female,0.7712173300156873,0.22878266998431268,female
