,Profession,Female BiasedDB,Male BiasedDB,Prediction BiasedDB,Female DebiasedDB,Male DebiasedDB,Prediction DebiasedDB
0,accountant,0.2008934577649027,0.7991065422350975,male,0.5172432003473266,0.4827567996526735,female
1,acquaintance,0.23703627127731286,0.7629637287226871,male,0.47806271647789944,0.5219372835221006,female
2,actor,0.031278362961957726,0.9687216370380423,male,0.553174274420213,0.44682572557978684,female
3,actress,0.99829758505202,0.0017024149479798996,female,0.8656924519820084,0.13430754801799155,female
4,adjunct_professor,0.6524298553998567,0.34757014460014335,female,0.575531804189106,0.424468195810894,female
5,administrator,0.29656380746442157,0.7034361925355785,male,0.5,0.5,female
6,adventurer,0.08510819588226046,0.9148918041177395,male,0.5889065390349509,0.4110934609650491,female
7,advocate,0.5948706389429083,0.40512936105709174,female,0.6665436806599154,0.33345631934008446,female
8,aide,0.20173504300188932,0.7982649569981105,male,0.3269166388562544,0.6730833611437459,male
9,alderman,0.07304123195736272,0.9269587680426372,male,0.4517553938514046,0.5482446061485953,female
10,alter_ego,0.5453318093460803,0.4546681906539196,female,0.5284084904381197,0.4715915095618803,female
11,ambassador,0.3577566242718599,0.6422433757281402,male,0.6911304016046317,0.30886959839536815,female
12,analyst,0.11876948074696243,0.8812305192530377,male,0.3626380095219402,0.63736199047806,male
13,anthropologist,0.6476163559282863,0.3523836440717138,female,0.6794922124491186,0.3205077875508814,female
14,archaeologist,0.3004304457435523,0.6995695542564478,male,0.6087201780880761,0.3912798219119239,female
15,archbishop,0.06495305080475403,0.9350469491952459,male,0.5323048148931938,0.467695185106806,female
16,architect,0.03070623589101681,0.969293764108983,male,0.3987694489294819,0.6012305510705181,male
17,artist,0.43063301500344137,0.5693669849965587,male,0.48433994143420755,0.5156600585657922,female
18,artiste,0.377277529613129,0.6227224703868711,male,0.576264504545656,0.4237354954543442,female
19,assassin,0.12228876976701579,0.8777112302329845,male,0.5683243616915534,0.4316756383084468,female
20,assistant_professor,0.739937572825886,0.26006242717411404,female,0.6699558800914526,0.33004411990854726,female
21,associate_dean,0.6423850801821981,0.3576149198178019,female,0.5602457047844822,0.43975429521551784,female
