,Profession,Female BiasedDB,Male BiasedDB,Prediction BiasedDB,Female DebiasedDB,Male DebiasedDB,Prediction DebiasedDB
0,stepmother,0.5129210426932062,0.4870789573067939,female,0.5,0.5,male
1,colt,0.5808912088269466,0.41910879117305344,female,0.561573293174689,0.43842670682531104,female
2,princesses,0.6332339763379699,0.36676602366203015,female,0.5720839659594013,0.42791603404059875,female
3,androgen,0.5770987103882718,0.42290128961172835,female,0.5380265464470869,0.46197345355291297,female
4,godess,0.6250406375078669,0.3749593624921331,female,0.5606830376407897,0.4393169623592103,female
5,suitor,0.31360621331978095,0.686393786680219,male,0.4427973056043424,0.5572026943956577,male
6,daughter,0.5151866293950279,0.48481337060497204,female,0.5,0.5,male
7,dads,0.4709608562955266,0.5290391437044735,male,0.5139648821502553,0.4860351178497447,female
8,dude,0.5688713095795088,0.4311286904204912,female,0.5526636069770071,0.447336393022993,female
9,hair_salon,0.5,0.5,female,0.506270222043295,0.49372977795670503,male
10,policeman,0.41997593336454775,0.5800240666354524,male,0.5130059025703242,0.4869940974296759,male
11,prince,0.44597482740255745,0.5540251725974426,male,0.5,0.5,male
12,host,0.36188988754336593,0.6381101124566338,male,0.49387371254534973,0.5061262874546504,male
13,barwomen,0.43799985573137984,0.56200014426862,male,0.506088127044913,0.4939118729550869,male
14,himself,0.6468511460312304,0.35314885396876966,female,0.5760993061955606,0.4239006938044395,female
15,matriarch,0.6204039570203956,0.3795960429796045,female,0.5650832217016709,0.4349167782983292,female
16,mama,0.548911765683591,0.45108823431640915,female,0.522777585594841,0.4772224144051589,female
17,goddess,0.5803219807987644,0.41967801920123554,female,0.562859135497318,0.437140864502682,female
18,miss,0.6612825244839309,0.3387174755160691,female,0.576960380796819,0.423039619203181,female
19,empress,0.5841662002573667,0.41583379974263324,female,0.5806053464708602,0.41939465352913985,female
20,councilmen,0.38335069483635215,0.6166493051636478,male,0.4644339253792558,0.5355660746207443,male
21,godesses,0.5393414592665037,0.4606585407334963,female,0.5333410906175033,0.46665890938249666,female
22,nuns,0.5858949933584654,0.4141050066415346,female,0.5616709444676409,0.43832905553235924,female
23,stepfather,0.5097561582362746,0.49024384176372526,female,0.5242320101734718,0.4757679898265283,female
24,bellgirl,0.6399373590853756,0.3600626409146244,female,0.57718267317471,0.4228173268252901,female
25,landladies,0.538162863743352,0.4618371362566481,female,0.5234939143842577,0.4765060856157425,female
26,policewoman,0.48958874104693745,0.5104112589530626,male,0.5359846002446391,0.464015399755361,female
27,maid,0.6039770846256199,0.39602291537438017,female,0.5654878746383043,0.4345121253616956,female
28,wife,0.43865500681610997,0.56134499318389,male,0.47752159683740397,0.5224784031625962,male
29,rooster,0.37664507368019223,0.6233549263198076,male,0.45434071315617053,0.5456592868438294,male
30,boyhood,0.44720950088175015,0.5527904991182497,male,0.5,0.5,male
31,bridegroom,0.3193038851109899,0.6806961148890099,male,0.43182391784216645,0.5681760821578337,male
32,gays,0.5620947842684942,0.43790521573150576,female,0.5132348997161215,0.48676510028387865,male
33,heroine,0.6785765184078792,0.3214234815921208,female,0.5958471352261462,0.4041528647738538,female
34,uncles,0.5965444530242716,0.40345554697572833,female,0.5788811112261854,0.42111888877381476,female
35,minxes,0.5963271977950482,0.40367280220495183,female,0.5466537371842933,0.4533462628157068,female
36,daddy,0.6321121744086652,0.36788782559133487,female,0.5895448976890773,0.4104551023109226,female
37,maternal,0.6786350978765325,0.32136490212346736,female,0.5941660002613673,0.40583399973863277,female
38,convent,0.6391449107798075,0.3608550892201923,female,0.5942058447978872,0.4057941552021128,female
39,queens,0.4947502484027352,0.5052497515972647,male,0.5123043928162582,0.48769560718374183,male
40,chairwoman,0.3413583799393618,0.6586416200606383,male,0.45546481612717615,0.5445351838728238,male
41,guy,0.5121597429737067,0.4878402570262932,female,0.5173240054648182,0.48267599453518173,female
42,cowboys,0.5821991166373885,0.41780088336261134,female,0.5455927598440111,0.4544072401559889,female
43,businesswomen,0.39307895293796935,0.6069210470620308,male,0.47205338006475955,0.5279466199352403,male
44,lads,0.482156997048672,0.5178430029513281,male,0.5145376760240523,0.48546232397594774,female
45,baroness,0.5773270625202294,0.4226729374797705,female,0.5414831342864086,0.4585168657135915,female
46,hubby,0.6033618245333472,0.39663817546665286,female,0.5685725886935077,0.43142741130649226,female
47,congresswoman,0.4466306087597589,0.5533693912402411,male,0.5,0.5,male
48,governors,0.4184231827687961,0.581576817231204,male,0.479864844410054,0.5201351555899458,male
49,marchioness,0.5103015026621069,0.48969849733789317,female,0.521742225123943,0.4782577748760571,female
50,wizard,0.6277678351772912,0.3722321648227088,female,0.5748569627759152,0.42514303722408475,female
51,sorority,0.5480667275335772,0.45193327246642295,female,0.5603696230605913,0.43963037693940854,female
52,penis,0.44936800192434606,0.5506319980756539,male,0.4654756682362392,0.534524331763761,male
53,toques,0.6786007296001619,0.321399270399838,female,0.5941924252317,0.40580757476829993,female
54,girlfriend,0.678580180377962,0.32141981962203786,female,0.5906997803482822,0.40930021965171787,female
55,she,0.5365463025019471,0.4634536974980529,female,0.5354714240871329,0.4645285759128671,female
56,saleswomen,0.38065121383012557,0.6193487861698744,male,0.4634946525933078,0.5365053474066923,male
57,andrology,0.48090824297032864,0.5190917570296714,male,0.5090112202072051,0.490988779792795,male
58,czarina,0.4884984661809535,0.5115015338190466,male,0.5055805642269441,0.4944194357730561,male
59,groom,0.34180307319631714,0.6581969268036828,male,0.4318495279337517,0.5681504720662484,male
60,bellboy,0.4670719286814386,0.5329280713185612,male,0.5218087502729468,0.4781912497270532,female
61,brother,0.31931975156923476,0.6806802484307651,male,0.4788960012836904,0.5211039987163095,male
62,boyfriends,0.6901385015865065,0.30986149841349353,female,0.5992548296138173,0.40074517038618285,female
63,boys,0.5568078122138973,0.44319218778610253,female,0.5482741096910607,0.4517258903089393,female
64,cowgirls,0.5449420898008852,0.45505791019911485,female,0.5186342832102444,0.4813657167897556,female
65,estrogen,0.4245013264281327,0.5754986735718675,male,0.49090370278213646,0.5090962972178635,male
66,heroines,0.6785161666216835,0.32148383337831643,female,0.5942002176447915,0.4057997823552086,female
67,adultress,0.5500735717489994,0.4499264282510006,female,0.5829003074905955,0.4170996925094044,female
68,male_host,0.44002098521915733,0.5599790147808429,male,0.491530297103627,0.5084697028963728,male
69,duchess,0.6044536094788797,0.3955463905211203,female,0.5633306784392816,0.4366693215607183,female
70,masseur,0.5189356648306584,0.4810643351693413,female,0.5,0.5,male
71,beard,0.4321076839814678,0.5678923160185322,male,0.5,0.5,male
72,boy,0.33043586795300084,0.6695641320469993,male,0.49211187673472856,0.5078881232652713,male
73,kings,0.5376106684224298,0.46238933157757023,female,0.5215841518858827,0.47841584811411725,female
74,camerawomen,0.3307913509535068,0.6692086490464932,male,0.45979369519194946,0.5402063048080505,male
75,stallion,0.5201188650867508,0.47988113491324913,female,0.5325196020785896,0.4674803979214102,female
76,busgirls,0.4696090558050932,0.5303909441949067,male,0.5105105667265131,0.48948943327348693,male
77,girlfriends,0.6785833481481636,0.32141665185183654,female,0.5941859010165458,0.40581409898345444,female
