,Profession,Female BiasedDB,Male BiasedDB,Prediction BiasedDB,Female DebiasedDB,Male DebiasedDB,Prediction DebiasedDB
0,maid,0.981970877852947,0.018029122147052847,female,0.9861942494844782,0.013805750515521733,female
1,duke,0.04789863863990367,0.9521013613600962,male,0.03947235371034723,0.9605276462896528,male
2,sistren,0.9728282842937813,0.0271717157062186,female,0.9768156933341792,0.02318430666582092,female
3,chairman,0.02251951926877376,0.9774804807312264,male,0.09150318301334451,0.9084968169866556,male
4,doe,0.9679094888182846,0.03209051118171536,female,0.9376139843144179,0.06238601568558217,female
5,mothered,0.9783066765033919,0.021693323496608054,female,0.9920473325097681,0.00795266749023188,female
6,guy,0.04063949715627675,0.9593605028437235,male,0.03887100189475582,0.9611289981052441,male
7,queens,0.9231511086263352,0.0768488913736649,female,0.8721500373512946,0.1278499626487053,female
8,empress,0.9915381273583114,0.00846187264168863,female,0.986214515756864,0.01378548424313611,female
9,bellboys,0.09322111222479895,0.9067788877752009,male,0.16018374016680093,0.8398162598331991,male
10,boyhood,0.004600981835798532,0.9953990181642014,male,0.013392327908671687,0.986607672091328,male
11,son,0.0167056804303721,0.9832943195696278,male,0.01336459091628383,0.9866354090837162,male
12,cialis,0.016723062310327566,0.9832769376896724,male,0.013413810081420056,0.9865861899185799,male
13,policeman,0.06590205512997947,0.9340979448700204,male,0.34652966379608235,0.6534703362039176,male
14,gents,0.01672538921349656,0.9832746107865031,male,0.01338676015229978,0.9866132398477003,male
15,mothers,0.9885543877317816,0.011445612268218391,female,0.9802153676020602,0.019784632397939678,female
16,guys,0.013343077128672678,0.9866569228713273,male,0.05181945642447055,0.9481805435755294,male
17,toques,0.9819738792394044,0.01802612076059578,female,0.9862187288576951,0.013781271142304898,female
18,barmen,0.03452133587637224,0.9654786641236278,male,0.04014037217042137,0.9598596278295788,male
19,king,0.01670516425341084,0.9832948357465892,male,0.013395446664619786,0.9866045533353801,male
20,bellgirl,0.9860424043340115,0.013957595665988462,female,0.9857772808013596,0.014222719198640477,female
21,bellboy,0.02250483450660768,0.9774951654933921,male,0.08681141217359342,0.9131885878264066,male
22,belles,0.9297934343631838,0.07020656563681603,female,0.9679390326596982,0.03206096734030177,female
23,nieces,0.9804868092848569,0.01951319071514326,female,0.9862050010676692,0.013794998932330828,female
24,nephew,0.006344443143917439,0.9936555568560825,male,0.021804233837555986,0.9781957661624442,male
25,girlfriend,0.44136429378864955,0.5586357062113506,male,0.5798573324359494,0.42014266756405066,female
26,prince,0.01670963123635483,0.9832903687636453,male,0.015496413677637221,0.9845035863223629,male
